index,address,city,state,zip_code,type,count,clay,wall,grass,indoor,lights,proshop,latitude,longitude
0,Adelphi Road,washington,dc,20782.0,Public,6,False,True,False,False,False,False,38.9743509,-76.952112
1,Brandywood Circle,orlando,fl,32792.0,Homeowners Community,1,False,False,False,False,True,False,28.5909561,-81.285224
2,Greenlee Drive,austin-san marcos,tx,78628.0,Public,8,False,True,False,False,True,False,30.615173,-97.7007937
3,McKee Street,minneapolis-st. paul,mn,55121.0,Public,1,False,False,False,False,False,False,44.8520963,-93.1421
4,Avenue North,minneapolis-st. paul,mn,55374.0,Public,6,False,False,False,False,False,False,45.207841,-93.544174
5,Talway Circle,west palm beach - boca raton,fl,33472.0,Homeowners Community,2,False,False,False,False,False,False,26.5534934,-80.2005816
6,North Avenue,new york,ny,6880.0,Public,6,False,False,False,False,False,False,41.154117,-73.330671
7,North California Avenue,chicago,il,60618.0,Public,4,False,True,False,False,True,False,41.9501589,-87.697404
8,East Drive,denver,co,80011.0,Homeowners Community,2,False,False,False,False,True,False,39.7179324,-104.8220158
9,North Street,milwaukee,wi,53213.0,Public,6,False,False,False,False,False,False,43.0352388,-87.99405
10,Glenleigh Drive Southwest,atlanta,ga,30126.0,Homeowners Community,2,False,False,False,False,True,False,33.8419403,-84.5557165
11,Saddlewood Drive,detroit,mi,48313.0,Public,2,False,False,False,False,False,False,42.5900257,-82.9785883
12,Gladeview Parkway,atlanta,ga,30083.0,Homeowners Community,2,False,False,False,False,True,False,33.8254799,-84.1795313
13,Haggerty Road,detroit,mi,48375.0,Homeowners Community,1,False,False,False,False,False,False,42.4628452,-83.4361517
14,Vine Street,boston,ma,1945.0,Public,3,False,False,False,False,False,False,42.4990055,-70.8613336
15,Chestnut Street,boston,ma,2351.0,Homeowners Community,2,False,False,False,False,False,False,42.1234212,-71.0007548
16,Eastern Avenue,baltimore,md,21220.0,Public,1,False,False,False,False,False,False,39.3430184,-76.3923383
17,Houston Street,memphis,tn,38111.0,Public,16,False,False,False,False,True,False,35.1138005,-89.9391782
18,Marten Road,new york,ny,8540.0,Homeowners Community,1,False,False,False,False,False,False,40.3922866,-74.6454155
19,Knox Boulevard,albany,ny,12065.0,Homeowners Community,3,False,False,False,False,False,False,42.8435389,-73.7307501
20,Pollock Road,albany,ny,12110.0,Homeowners Community,1,False,False,False,False,False,False,42.7713214,-73.7757254
21,Valley Brook Drive South,dayton-springfield,oh,45322.0,Homeowners Community,3,False,False,False,False,True,False,39.8424013,-84.3084919
22,Wateredge Drive,oklahoma city,ok,73108.0,Homeowners Community,2,False,False,False,False,False,False,35.4435314,-97.5941491
23,Hartford Park Walking Trail,st. louis,mo,62048.0,Public,2,False,True,False,False,True,False,38.8266198,-90.0914311
24,Frank Schlessinger Way,san francisco - oakland - san jose,ca,94704.0,Public,6,False,False,False,False,True,False,37.8699667,-122.2650218
25,James Avenue,san francisco - oakland - san jose,ca,94062.0,Public,4,False,False,False,False,False,False,37.4834403,-122.2371697
26,East Shaw Avenue,fresno,ca,93710.0,Homeowners Community,2,False,False,False,False,True,False,36.8112775,-119.7664797
27,Old Seagoville Road,dallas - fort worth,tx,75217.0,Public,2,False,False,False,False,False,False,32.709345,-96.6518462
28,Mossy Stone Drive,houston - galveston - brazoria,tx,77546.0,Homeowners Community,2,False,False,False,False,True,False,29.491011,-95.2020264
29,Clearbrook Circle East,west palm beach - boca raton,fl,33445.0,Homeowners Community,1,False,False,False,False,True,False,26.4520645,-80.1019835
30,Sundown View Court,tampa-st. petersburg-clearwater,fl,33626.0,Homeowners Community,1,False,False,False,False,True,False,28.0582338,-82.6248372
31,Willow Lane,washington,dc,22042.0,Public,2,False,True,False,False,False,False,38.872759,-77.208537
32,Avents Ridge Drive,houston - galveston - brazoria,tx,77406.0,Homeowners Community,2,False,False,False,False,True,False,29.6892737,-95.8291483
33,Barclay Street,san antonio,tx,78207.0,Public,2,False,False,False,False,False,False,29.4157689,-98.5420632
34,Winds Drive,san antonio,tx,78623.0,Public,6,False,False,False,False,False,False,29.9423009,-98.2166576
35,Renaissance Court,austin-san marcos,tx,78728.0,Homeowners Community,1,False,False,False,False,False,False,30.4364178,-97.6861382
36,Lewis Avenue,new york,ny,6451.0,Public,4,False,False,False,False,False,False,41.5445531,-72.806042
37,East Southern Street,denver,co,80601.0,Public,4,False,True,False,False,True,False,39.9788959,-104.81404
38,Schoolhouse Road,new york,ny,8831.0,Public,6,False,False,False,False,False,False,40.3258861,-74.435452
39,Fairview Avenue,new york,ny,8854.0,Public,4,False,False,False,False,False,False,40.5735195,-74.449152
40,Wagner Road,chicago,il,60093.0,Public,6,False,True,False,False,True,False,42.1031081,-87.778736
41,Mansfield Drive,new york,ny,7874.0,Public,2,False,False,False,False,False,False,40.9366318,-74.706323
42,Chase Avenue,new york,ny,10703.0,Public,4,False,False,False,False,False,False,40.9581064,-73.883925
43,Town Court South,new york,ny,8648.0,Homeowners Community,1,False,False,False,False,True,False,40.2864253,-74.6801126
44,Bay Colony Drive,chicago,il,60016.0,Homeowners Community,1,False,False,False,False,True,False,42.0502487,-87.8669679
45,Southwind Drive,richmond-petersburg,va,23832.0,Homeowners Community,1,False,False,False,False,True,False,37.3994486,-77.6962996
46,York Avenue South,minneapolis-st. paul,mn,55435.0,Homeowners Community,3,False,False,False,False,True,False,44.8715416,-93.3201778
47,Wasco Ct Road,atlanta,ga,30080.0,Homeowners Community,4,False,False,False,False,True,False,33.8889247,-84.4909358
48,Kensington Drive,cleveland,oh,44145.0,Homeowners Community,1,False,False,False,False,False,False,41.4708772,-81.9071209
49,Augusta National Drive,boston,ma,3110.0,Homeowners Community,2,False,False,False,False,True,False,42.9427583,-71.4763105
50,Deerfield Road,cincinnati,oh,45242.0,Public,2,False,False,False,False,False,False,39.2536991,-84.3518364
51,Copper Ridge Drive,raleigh-durham-chapel hill,nc,27707.0,Homeowners Community,1,False,True,False,False,True,False,35.9176416,-78.9650381
52,North Session Court,memphis,tn,38119.0,Homeowners Community,1,False,False,False,False,True,False,35.0968253,-89.8676813
53,YardvilleHamilton Square Road,new york,ny,8620.0,Public,3,False,False,False,False,False,False,40.1857422,-74.6713364
54,South Street,new york,ny,8730.0,Public,3,False,True,False,False,False,False,40.1147902,-74.0614665
55,Saint Andrews Drive,grand rapids,mi,49423.0,Homeowners Community,2,False,False,False,False,False,False,42.752275,-86.1250019
56,East Street,indianapolis,in,46226.0,Public,2,False,False,False,False,False,False,39.8399423,-86.048566
57,Rosecrans Avenue,los angeles,ca,90621.0,Public,4,False,False,False,False,True,False,33.8951766,-117.9802895
58,Montanoso Drive,los angeles,ca,92691.0,Public,2,False,True,False,False,True,False,33.5870958,-117.66366
59,Park Avenue,philadelphia,pa,8075.0,Public,2,False,False,False,False,False,False,40.0328967,-74.953869
60,Rancho San Antonio Bike Path,san francisco - oakland - san jose,ca,95014.0,Public,4,False,True,False,False,False,False,37.3353438,-122.0912147
61,Rose Avenue Northeast,seattle,wa,98110.0,Public,1,False,True,False,False,False,False,47.6098376,-122.5215483
62,Moraga Way,san francisco - oakland - san jose,ca,94563.0,Public,6,False,True,False,False,False,False,37.8421225,-122.1452451
63,North Valentine Avenue,fresno,ca,93711.0,Homeowners Community,1,True,False,False,False,True,False,36.8131672,-119.852246
64,Avenue,pittsburgh,pa,15033.0,Public,2,False,False,False,False,True,False,40.1861356,-79.869009
65,Seamist Drive,houston - galveston - brazoria,tx,77008.0,Homeowners Community,1,False,False,False,False,True,False,29.8000252,-95.43632
66,Canterbury Drive West,west palm beach - boca raton,fl,33407.0,Public,1,False,False,False,False,False,False,26.7692634,-80.1153839
67,Palisade Avenue,new york,ny,7675.0,Public,3,False,False,False,False,False,False,40.9876246,-74.010558
68,Barcelona Drive,orlando,fl,34741.0,Homeowners Community,1,False,False,False,False,False,False,28.3101427,-81.4155042
69,West Slaughter Lane,austin-san marcos,tx,78749.0,Public,8,False,True,False,False,False,False,30.1888903,-97.8585184
70,Town House Circle,austin-san marcos,tx,78676.0,Homeowners Community,2,False,False,False,False,False,False,30.0177998,-98.1156564
71,Rock Creek Drive,philadelphia,pa,19095.0,Public,6,False,False,False,False,False,False,40.0812976,-75.158779
72,South Sunset Lane,new york,ny,7444.0,Public,4,False,False,False,False,False,False,40.9611042,-74.308079
73,East Street,chicago,il,60521.0,Public,4,False,False,False,False,False,False,41.8002091,-87.910859
74,Deer Point Court,atlanta,ga,30004.0,Homeowners Community,1,False,False,False,False,True,False,34.1053376,-84.2668641
75,Pine Court,new york,ny,6416.0,Homeowners Community,2,False,False,False,False,False,False,41.6041316,-72.6849568
76,Maple Terrace Drive,atlanta,ga,30024.0,Homeowners Community,2,False,False,False,False,True,False,34.0415029,-84.0403461
77,North Morris Boulevard,milwaukee,wi,53211.0,Public,2,False,True,False,False,False,False,43.0971755,-87.891891
78,West King Road,philadelphia,pa,19355.0,Homeowners Community,1,False,False,False,False,False,False,40.0337018,-75.5271542
79,James Burgess Road,atlanta,ga,30024.0,Homeowners Community,4,False,False,False,False,True,False,34.1113071,-84.1233122
80,Enfield Road,detroit,mi,48307.0,Public,2,False,True,False,False,False,False,42.6296015,-83.1078118
81,Harbor Pointe Parkway,atlanta,ga,30350.0,Homeowners Community,2,False,False,False,False,True,False,33.9723707,-84.3702257
82,Morgan Road,atlanta,ga,30291.0,Homeowners Community,2,False,False,False,False,True,False,33.5681907,-84.5178437
83,Ainsworth Place,boston,ma,1905.0,Public,1,False,False,False,False,False,False,42.4630747,-70.9747803
84,Thomas Run Road,baltimore,md,21015.0,Public,8,False,False,False,False,True,False,39.5588618,-76.2852645
85,Southwest Sagert Street,portland,or,97062.0,Public,2,False,True,False,False,False,False,45.3733277,-122.7455664
86,Martin Luther King Drive West,cincinnati,oh,45220.0,Homeowners Community,1,False,False,False,False,False,False,39.138557,-84.5298171
87,Marigold Drive,chicago,il,60411.0,Homeowners Community,1,False,False,False,False,False,False,41.4898927,-87.555517
88,North Telephone Road,oklahoma city,ok,73160.0,Public,4,False,False,False,False,False,False,35.341761,-97.4951541
89,North Elmer Street,chicago,il,46319.0,Public,2,False,False,False,False,False,False,41.5307443,-87.421133
90,Burning Tree Road,los angeles,ca,92833.0,Homeowners Community,2,False,False,False,False,False,False,33.8846095,-117.9738522
91,Catamaran Street,san francisco - oakland - san jose,ca,94404.0,Homeowners Community,1,False,False,False,False,True,False,37.5526582,-122.2585094
92,Southwest Avenue,miami-fort lauderdale,fl,33068.0,Public,2,False,False,False,False,False,False,26.2211072,-80.2202153
93,Northwest Place,miami-fort lauderdale,fl,33351.0,Homeowners Community,1,False,True,False,False,True,False,26.1770462,-80.2547622
94,Granville Drive,miami-fort lauderdale,fl,33321.0,Homeowners Community,1,False,True,False,False,True,False,26.219394,-80.2918625
95,East Spring Valley Road,dallas - fort worth,tx,75081.0,Public,8,False,False,False,False,False,False,32.9353789,-96.6925943
96,Southwest Avenue,miami-fort lauderdale,fl,33328.0,Homeowners Community,2,False,False,False,False,False,False,26.085492,-80.2634096
97,South Cottonwood Drive,dallas - fort worth,tx,75080.0,Public,2,False,True,False,False,True,False,32.9491278,-96.7649925
98,Cottonwood Drive,nashville,tn,37069.0,Homeowners Community,2,False,False,False,False,True,False,35.9721628,-86.9138718
99,Glenridge Drive Northeast,atlanta,ga,30328.0,Public,4,False,True,False,False,True,False,33.9171794,-84.3622971
100,Palm Trace Court,miami-fort lauderdale,fl,33314.0,Homeowners Community,1,False,False,False,False,True,False,26.0841141,-80.2281761
101,Abbeydale Drive,houston - galveston - brazoria,tx,77031.0,Homeowners Community,2,False,True,False,False,True,False,29.6511834,-95.5392766
102,Victoria Falls Boulevard,west palm beach - boca raton,fl,33410.0,Homeowners Community,4,False,False,False,False,True,False,26.8578728,-80.1009107
103,Carrington Park Drive,tampa-st. petersburg-clearwater,fl,33647.0,Homeowners Community,1,False,False,False,False,True,False,28.1165377,-82.3816547
104,Cady Way Trail,orlando,fl,32792.0,Public,1,False,False,False,False,False,False,28.6105302,-81.2829816
105,Eller Road,indianapolis,in,46038.0,Public,6,False,True,False,False,False,False,39.947582,-86.06315
106,Tappan Street,chicago,il,60098.0,Public,2,False,False,False,False,False,False,42.3264431,-88.447612
107,Oakwood Road,new york,ny,11743.0,Public,4,False,False,False,False,False,False,40.8353074,-73.429462
108,Scout Street,atlanta,ga,30354.0,Public,2,False,False,False,False,True,False,33.6601567,-84.405148
109,Lionel Hampton Trail,atlanta,ga,30314.0,Public,2,False,True,False,False,True,False,33.75454,-84.4392657
110,Jackson Street,new york,ny,7735.0,Public,2,False,False,False,False,False,False,40.4291864,-74.1965747
111,Kathy Drive,philadelphia,pa,19067.0,Homeowners Community,2,False,False,False,False,False,False,40.2394645,-74.8272479
112,Adams Street,detroit,mi,48170.0,Public,6,False,False,False,False,False,False,42.3750716,-83.4678233
113,Berkshire Eve Drive,atlanta,ga,30097.0,Homeowners Community,2,False,False,False,False,True,False,34.0094119,-84.0914798
114,Flowers Road South,atlanta,ga,30341.0,Homeowners Community,2,False,False,False,False,True,False,33.8713242,-84.2562425
115,North Lakeshore Drive,atlanta,ga,30117.0,Public,6,False,False,False,False,False,False,33.598705,-85.0587916
116,Stillbrook Lane,new york,ny,8540.0,Homeowners Community,1,False,False,False,False,True,False,40.3073736,-74.6450937
117,Stonebridge Boulevard,wilmington-newark,de,19720.0,Homeowners Community,1,False,False,False,False,False,False,39.6590661,-75.6233382
118,Symphony Circle,baltimore,md,21030.0,Homeowners Community,2,False,False,False,False,True,False,39.4986017,-76.6617286
119,Camelot Drive,cincinnati,oh,45014.0,Homeowners Community,2,False,False,False,False,False,False,39.3335672,-84.5324028
120,DevilDen,cincinnati,oh,41075.0,Homeowners Community,1,False,True,False,False,False,False,39.0824143,-84.4648755
121,Forest Street,hartford,ct,6040.0,Homeowners Community,1,False,False,False,False,False,False,41.7681029,-72.5275218
122,Highway,new york,ny,11778.0,Public,4,False,False,False,False,False,False,40.9473376,-72.9340589
123,Tournament Drive,raleigh-durham-chapel hill,nc,27612.0,Homeowners Community,2,False,False,False,False,True,False,35.8570483,-78.7154961
124,Southside Drive,louisville,ky,40214.0,Public,4,False,False,False,False,False,False,38.1494413,-85.771476
125,North Topping Avenue,kansas city,mo,64117.0,Public,8,False,False,False,False,False,False,39.1793706,-94.5115614
126,Diamond Ranch Road,los angeles,ca,91766.0,Public,9,False,False,False,False,False,False,34.0231603,-117.7752829
127,North Way,phoenix,az,85255.0,Homeowners Community,1,False,False,False,False,True,False,33.6735239,-111.9084442
128,South Goldfield Road,phoenix,az,85119.0,Homeowners Community,2,False,False,False,False,True,False,33.3817789,-111.517303
129,Autumn Lake Boulevard,tampa-st. petersburg-clearwater,fl,34667.0,Homeowners Community,2,False,False,False,False,True,False,28.4258543,-82.5837994
130,Avenue Northeast,seattle,wa,98052.0,Public,2,False,False,False,False,False,False,47.691378,-122.105881
131,Avenue Southeast,seattle,wa,98092.0,Public,2,False,False,False,False,False,False,47.3168757,-122.1768415
132,Fort Yargo Road,atlanta,ga,30680.0,Public,2,False,False,False,False,False,False,33.9800578,-83.7346709
133,Paso Robles Way,sacramento-yolo,ca,95758.0,Public,8,False,True,False,False,False,False,38.4303201,-121.4298356
134,Northwest Street,west palm beach - boca raton,fl,33486.0,Homeowners Community,1,False,False,False,False,True,False,26.3621786,-80.108496
135,Damon Avenue,boston,ma,2176.0,Public,2,False,False,False,False,False,False,42.4679975,-71.0574567
136,Edgecreek Drive,houston - galveston - brazoria,tx,77043.0,Homeowners Community,1,False,False,False,False,True,False,29.9417803,-95.4667926
137,Avenue P /,houston - galveston - brazoria,tx,77551.0,Homeowners Community,2,False,False,False,False,True,False,29.2736157,-94.8466766
138,Normandy Court,tampa-st. petersburg-clearwater,fl,33617.0,Homeowners Community,1,False,False,False,False,False,False,28.0495325,-82.3945481
139,Dolonita Drive,tampa-st. petersburg-clearwater,fl,33615.0,Homeowners Community,1,False,False,False,False,True,False,28.0175332,-82.5645411
140,Toledo Ap,jacksonville,fl,32217.0,Public,6,False,False,False,False,False,False,30.2501333,-81.6173029
141,Boxwood Place,richmond-petersburg,va,23228.0,Public,6,False,False,False,False,True,False,37.6304961,-77.476927
142,Augustine Herman Highway,wilmington-newark,de,21915.0,Public,6,False,False,False,False,False,False,39.5094295,-75.831627
143,Sunnyfield Road East,minneapolis-st. paul,mn,55364.0,Public,9,False,False,False,False,False,False,44.9560371,-93.673381
144,Bartlett Street,philadelphia,pa,19115.0,Public,2,False,False,False,False,True,False,40.1001017,-75.03337
145,Barry Street,rochester,ny,14420.0,Public,2,False,False,False,False,False,False,43.2163813,-77.931454
146,Winton Street,pittsburgh,pa,15221.0,Public,6,False,False,False,False,True,False,40.4510292,-79.8642
147,South Boston Street,denver,co,80111.0,Public,1,False,False,False,False,False,False,39.6198794,-104.88017
148,Mergenhagen Road,buffalo-niagara falls,ny,14006.0,Public,2,False,False,False,False,False,False,42.640407,-79.065266
149,North Elmwood Avenue,chicago,il,60302.0,Public,6,False,False,False,False,True,False,41.9024127,-87.786276
150,Selena Drive,nashville,tn,37211.0,Homeowners Community,1,False,False,False,False,False,False,36.1059825,-86.7323935
151,Tavern Lane,new york,ny,8889.0,Homeowners Community,2,False,False,False,False,False,False,40.6224302,-74.7829592
152,Home Street,new york,ny,10456.0,Public,4,False,False,False,False,False,False,40.8279609,-73.8999975
153,Peony Lane North,minneapolis-st. paul,mn,55447.0,Homeowners Community,2,False,True,False,False,False,False,44.9929312,-93.5066986
154,Fordham Circle,detroit,mi,48187.0,Homeowners Community,1,False,False,False,False,False,False,42.3239287,-83.4668255
155,Palmer Street,detroit,mi,48141.0,Public,4,False,True,False,False,False,False,42.2966592,-83.3271039
156,Bolton Street,boston,ma,1749.0,Public,6,False,False,False,False,False,False,42.3699196,-71.5647268
157,Northlake Drive,atlanta,ga,30269.0,Homeowners Community,2,False,False,False,False,False,False,33.4054359,-84.5809186
158,Norway Place,norfolk-virginia beach,va,23509.0,Homeowners Community,2,False,False,False,False,True,False,36.88513,-76.2671328
159,Vadala Road,new york,ny,10918.0,Public,4,False,False,False,False,False,False,41.3583054,-74.272449
160,Morning Lake Drive,memphis,tn,38016.0,Homeowners Community,1,False,False,False,False,False,False,35.2033398,-89.7585154
161,Huntscroft Lane,raleigh-durham-chapel hill,nc,27617.0,Homeowners Community,2,False,False,False,False,True,False,35.9211258,-78.7982905
162,East State Highway,louisville,ky,40014.0,Public,4,False,True,False,False,True,False,38.3248329,-85.4676569
163,Irquois Way,albany,ny,12309.0,Public,3,False,False,False,False,False,False,42.8014938,-73.9112306
164,Dierker Road,columbus,oh,43220.0,Homeowners Community,1,False,False,False,False,True,False,40.0592283,-83.0760169
165,Street,los angeles,ca,90504.0,Public,1,False,False,False,False,True,False,33.8616584,-118.3149326
166,Hazard Avenue,los angeles,ca,92683.0,Public,8,False,False,False,False,True,False,33.7524883,-118.0106413
167,South Stewart,phoenix,az,85202.0,Homeowners Community,1,False,False,False,False,True,False,33.3958968,-111.859113
168,North Fiesta Travel Trailer Park,phoenix,az,85205.0,Homeowners Community,4,False,True,False,False,True,False,33.4219857,-111.7495608
169,Monterey Circle,san francisco - oakland - san jose,ca,95138.0,Homeowners Community,1,False,False,False,False,False,False,37.2400234,-121.7684162
170,West Park Drive,miami-fort lauderdale,fl,33172.0,Homeowners Community,1,False,False,False,False,True,False,25.7728322,-80.3651297
171,Ramey Avenue,dallas - fort worth,tx,76119.0,Public,6,False,False,False,False,False,False,32.7196921,-97.2328985
172,Pinewalk Drive North,miami-fort lauderdale,fl,33063.0,Homeowners Community,1,False,False,False,False,True,False,26.2672778,-80.2286375
173,Guerrero Drive,dallas - fort worth,tx,75006.0,Homeowners Community,1,False,False,False,False,True,False,32.9816501,-96.8781388
174,Northwest Road,miami-fort lauderdale,fl,33324.0,Homeowners Community,2,False,False,False,False,True,False,26.1268231,-80.2662528
175,East Main Street,dallas - fort worth,tx,75002.0,Public,6,False,False,False,False,True,False,33.101006,-96.6570818
176,North Rachlin Circle,houston - galveston - brazoria,tx,77071.0,Homeowners Community,2,False,False,False,False,True,False,29.641099,-95.5302268
177,Lookout Pointe Apartments Circle,tampa-st. petersburg-clearwater,fl,33616.0,Homeowners Community,2,False,False,False,False,True,False,27.878099,-82.5275588
178,Wells Road,tampa-st. petersburg-clearwater,fl,33545.0,Public,4,False,False,False,False,False,False,28.2566766,-82.3082399
179,Northwest Street,west palm beach - boca raton,fl,33434.0,Public,2,False,False,False,False,False,False,26.3893228,-80.1397061
180,Quail Boulevard,austin-san marcos,tx,78758.0,Homeowners Community,1,False,False,False,False,True,False,30.3701723,-97.6991415
181,Riverton Ridge Drive,richmond-petersburg,va,23113.0,Public,6,False,True,False,False,False,False,37.5540531,-77.648212
182,Meadow Lane,indianapolis,in,46001.0,Public,5,False,False,False,False,True,False,40.2531463,-85.678317
183,Little City Road,new york,ny,6441.0,Public,8,False,False,False,False,False,False,41.4624356,-72.563415
184,Don Connor Boulevard,new york,ny,8527.0,Public,6,False,True,False,False,True,False,40.1056574,-74.343527
185,Rivermeade Drive,cincinnati,oh,41048.0,Homeowners Community,2,False,True,False,False,False,False,39.1021909,-84.7371304
186,Long Avenue,chicago,il,60452.0,Public,6,False,False,False,False,False,False,41.6160278,-87.752319
187,North Fairway Drive,milwaukee,wi,53402.0,Public,3,False,False,False,False,False,False,42.7835196,-87.767779
188,Prairie Avenue,chicago,il,46322.0,Homeowners Community,2,False,True,False,False,True,False,41.539207,-87.474772
189,New York State Reference Route,new york,ny,10962.0,Public,4,False,True,False,False,True,False,41.0413294,-73.9572358
190,Patterson Street,new york,ny,8807.0,Homeowners Community,2,False,False,False,False,False,False,40.5860358,-74.6718299
191,Hiram Douglasville Highway,atlanta,ga,30141.0,Public,2,False,False,False,False,True,False,33.8798488,-84.7608733
192,Marshstone Drive,atlanta,ga,30064.0,Homeowners Community,2,False,False,False,False,True,False,33.9513612,-84.6356571
193,East Church Road,philadelphia,pa,18969.0,Public,2,False,False,False,False,True,False,40.3303192,-75.3316534
194,Old Westminster Pike,baltimore,md,21048.0,Public,2,False,False,False,False,False,False,39.5200736,-76.9163346
195,Northeast Street,portland,or,97128.0,Public,4,False,False,False,False,True,False,45.2160267,-123.1961775
196,Colonial Drive,boston,ma,1810.0,Homeowners Community,2,False,False,False,False,False,False,42.6028598,-71.1190617
197,Mendon Road,providence,ri,2864.0,Public,4,False,False,False,False,False,False,41.965976,-71.4443064
198,Nickerson Boulevard,norfolk-virginia beach,va,23663.0,Public,4,False,False,False,False,False,False,37.0462719,-76.3085675
199,Horton Road,raleigh-durham-chapel hill,nc,27704.0,Homeowners Community,1,False,False,False,False,False,False,36.0515971,-78.9071882
200,Koclas Drive,new york,ny,7857.0,Public,2,False,False,False,False,True,False,40.9023148,-74.6933091
201,Bainbridge Drive,raleigh-durham-chapel hill,nc,27713.0,Homeowners Community,1,False,False,False,False,True,False,35.938883,-78.8986373
202,Chimney Court,new york,ny,8879.0,Homeowners Community,2,False,False,False,False,False,False,40.44244,-74.2461419
203,Westwoods Boulevard,columbus,oh,43119.0,Public,8,False,False,False,False,False,False,39.9472283,-83.1485224
204,Hoech Trail,st. louis,mo,63074.0,Public,1,False,False,False,False,False,False,38.7184152,-90.3794575
205,Viking Drive,st. louis,mo,63050.0,Public,6,False,True,False,False,False,False,38.2623866,-90.5573094
206,Roanoke Drive,los angeles,ca,92694.0,Homeowners Community,1,False,False,False,False,True,False,33.5588305,-117.6393378
207,South Street,phoenix,az,85209.0,Homeowners Community,1,False,False,False,False,False,False,33.382191,-111.6220164
208,Sedgewood Drive,raleigh-durham-chapel hill,nc,27612.0,Homeowners Community,2,False,False,False,False,False,False,35.8366634,-78.7151849
209,Jog Road,west palm beach - boca raton,fl,33496.0,Public,4,False,False,False,False,False,False,26.4007688,-80.1466584
210,Wilson Lane,washington,dc,20817.0,Public,6,False,False,False,False,True,False,38.988967,-77.131566
211,Oak Street,washington,dc,20785.0,Public,1,False,True,False,False,False,False,38.9293292,-76.90063
212,Boynton Place Circle,west palm beach - boca raton,fl,33437.0,Homeowners Community,1,False,False,False,False,True,False,26.5274726,-80.1339018
213,Springs Boulevard,west palm beach - boca raton,fl,33463.0,Homeowners Community,2,False,True,False,False,True,False,26.6330068,-80.1388264
214,Palencia Drive,tampa-st. petersburg-clearwater,fl,33618.0,Homeowners Community,2,False,False,False,False,True,False,28.0867,-82.4999428
215,Mentmore Boulevard,tampa-st. petersburg-clearwater,fl,34638.0,Homeowners Community,2,False,False,False,False,False,False,28.2055569,-82.5079358
216,Dorscher Road,orlando,fl,32818.0,Homeowners Community,1,True,False,False,False,False,False,28.5585256,-81.4845335
217,Brushy Creek Road,austin-san marcos,tx,78681.0,Public,2,False,True,False,False,True,False,30.5195149,-97.7386987
218,Baxter Avenue,louisville,ky,40204.0,Public,6,False,True,False,False,True,False,38.2310843,-85.7164586
219,West Avenue,denver,co,80030.0,Public,4,False,False,False,False,False,False,39.82215,-105.04187
220,Holly Street,denver,co,80241.0,Public,4,False,False,False,False,False,False,39.9211333,-104.92381
221,West Street,chicago,il,60464.0,Public,2,False,False,False,False,False,False,41.6667888,-87.838611
222,Gazebo Way,indianapolis,in,46142.0,Homeowners Community,2,False,False,False,False,False,False,39.6297216,-86.1301303
223,Willow Pond Lane,new york,ny,11901.0,Homeowners Community,2,False,False,False,False,False,False,40.9742929,-72.6843131
224,Blueberry Court,philadelphia,pa,18944.0,Homeowners Community,2,False,False,False,False,False,False,40.3546796,-75.2765286
225,Pine Street,boston,ma,2466.0,Public,2,False,False,False,False,False,False,42.3530258,-71.2424755
226,Johnson Road,atlanta,ga,30274.0,Homeowners Community,2,False,False,False,False,False,False,33.5872031,-84.3996441
227,Saxon Way,atlanta,ga,30062.0,Homeowners Community,2,False,False,False,False,False,False,33.9873706,-84.4467974
228,Hunters Chase Drive,cleveland,oh,44145.0,Homeowners Community,2,False,False,False,False,True,False,41.4667128,-81.9415498
229,Northwest Culpepper Terrace,portland,or,97210.0,Public,1,False,False,False,False,False,False,45.5275167,-122.7093995
230,Raintree Lane,cincinnati,oh,45039.0,Homeowners Community,1,False,False,False,False,False,False,39.3229527,-84.200002
231,Poe Street,greensboro-winston-salem,nc,27403.0,Public,1,False,False,False,False,False,False,36.0667494,-79.8196864
232,Village Square Parkway,jacksonville,fl,32003.0,Public,6,False,False,False,False,False,False,30.0888226,-81.7115128
233,West Street,new york,ny,10471.0,Homeowners Community,2,False,False,False,False,False,False,40.8916504,-73.9104044
234,Heather Row,memphis,tn,38141.0,Homeowners Community,1,False,False,False,False,False,False,35.0188207,-89.8332417
235,Kenwood Court,albany,ny,12110.0,Homeowners Community,1,False,False,False,False,False,False,42.748714,-73.7714982
236,Karl Road,columbus,oh,43224.0,Public,3,False,False,False,False,False,False,40.0500471,-82.9821718
237,Arroyo Drive,los angeles,ca,92617.0,Public,6,False,False,False,False,True,False,33.6437417,-117.8258693
238,West Street,kansas city,mo,66216.0,Public,6,False,False,False,False,False,False,39.0050201,-94.7338307
239,Freeland Drive,st. louis,mo,63042.0,Public,2,False,True,False,False,True,False,38.7913893,-90.3816247
240,Azevedo Drive,sacramento-yolo,ca,95833.0,Homeowners Community,1,False,False,False,False,True,False,38.6264263,-121.5101302
241,Northwest Street,miami-fort lauderdale,fl,33321.0,Public,4,False,False,False,False,True,False,26.2195865,-80.2852213
242,Algonquin Drive,houston - galveston - brazoria,tx,77034.0,Homeowners Community,2,False,False,False,False,True,False,29.5963111,-95.1968819
243,Belle Rive Boulevard,jacksonville,fl,32256.0,Homeowners Community,1,False,False,False,False,True,False,30.2060822,-81.5475869
244,Mars Place,philadelphia,pa,19153.0,Public,5,False,False,False,False,True,False,39.90479,-75.250457
